date,symbol,name,price,mavg_price
1150820,00893,國泰智能電動車,42.86,43.62
1150820,00894,中信小資高價30,45.62,47.28
1150820,00895,富邦未來車,49.73,50.23
1150820,00896,中信綠能及電動車,26.99,27.16
1150820,00897,富邦基因免疫生技,13.52,11.74
1150820,00898,國泰基因免疫革命,11.08,10.02
1150820,00899,FT潔淨能源,23.75,23.92
1150820,00900,富邦特選高股息30,18.56,18.68
1150820,00901,永豐智能車供應鏈,44.61,44.83
1150820,00902,中信電池及儲能,13.35,13.43
1150820,00903,富邦元宇宙,21.39,21.53
1150820,00904,台新臺灣半導體30,39.14,39.57
1150820,00905,FT臺灣Smart,25.75,25.71
1150820,00907,永豐優息存股,17.17,16.88
1150820,00908,富邦入息REITs+,15.45,15.56
1150820,00909,國泰數位支付服務,44.60,44.41
1150820,00910,第一金太空衛星,61.15,61.96
1150820,00911,兆豐洲際半導體,53.25,54.45
1150820,00912,中信臺灣智慧50,34.01,33.60
1150820,00913,兆豐台灣晶圓製造,45.49,47.32
1150820,00915,凱基優選高股息30,31.09,31.69
1150820,00916,國泰全球品牌50,26.96,27.09
1150820,00917,中信特選金融,24.12,24.27
1150820,00918,大華優利高填息30,33.64,33.67
1150820,00919,群益台灣精選高息,30.31,30.07
1150820,00920,富邦ESG綠色電力,24.37,24.68
1150820,00921,兆豐龍頭等權重,23.90,23.62
1150820,00922,國泰台灣領袖50,40.05,40.17
1150820,00923,群益台ESG低碳50,38.50,41.06
1150820,00924,復華S&P500成長,33.21,33.72
1150820,00926,凱基全球菁英55,26.26,26.65
1150820,00927,群益半導體收益,35.30,35.97
1150820,00929,復華台灣科技優息,28.44,28.86
1150820,00930,永豐ESG低碳高息,23.75,23.87
1150820,00932,兆豐永續高息等權,17.49,17.52
1150820,00934,中信成長高股息,28.36,28.46
1150820,00935,野村臺灣新科技50,55.95,56.48
1150820,00936,台新永續高息中小,21.07,21.27
1150820,00938,凱基優選30,24.37,24.83
1150820,00939,統一台灣高息動能,22.21,22.27
1150820,00940,元大台灣價值高息,12.40,12.40
1150820,00941,中信上游半導體,25.90,26.39
1150820,00943,兆豐電子高息等權,21.28,21.57
1150820,00944,野村趨勢動能高息,20.54,20.64
1150820,00945B,凱基美國非投等債,14.50,14.64
1150820,00946,群益科技高息成長,15.28,15.19
1150820,00947,台新臺灣IC設計,36.15,36.01
1150820,00949,復華日本龍頭,21.74,21.88
1150820,00951,台新日本半導體,17.14,17.95
